Rera Regd. No,Project Name,Promoter Name,Promoter Address,GST No.
RP/01/2025/01362,Basanti Enclave,M/S. NEELACHAL INFRA DEVELOPERS PVT. LTD,"Gurudwara, PO-South Balanda, Via: Talcher Rural INR, Angul-759116, Dist. Angul, Odisha ,,,,,",21AADCN5439J2ZH
RP/19/2025/01361,UDYAYEEN,SHYAMCHAND BUILDERS PRIVATE LIMITED,"MIG-II 21/2 Ground Floor,Chandrasekharpur,Bhubaneswar,Khordha,Odisha,751016",21ABCCS4755J1ZB
PS/28/2025/01360,BARSANA RESIDENCY - II,N/A,N/A,N/A
PS/7/2025/01358,KRISHNA MANOR PH-II,KRISHNA PROPERTIES & DEVELOPERS PRIVATE LIMITED,"Plot No-46, Indraprastha Housing Colony, Phase-II, Pokhariput, Bhubaneswar, Khordha, Odisha-751020.,,,,,",21AAECK8663L2Z7
PS/19/2025/01351,BHAVYAVILLA,SUNSHINE INFRATECH,"PLOT NO 339,GOUTAMNAGAR,BJB NAGAR,Khordha,Odisha,751014",21ACMFS3976P1ZC
RP/19/2025/01355,MURALIDHARA HEIGHTS,TRILOCHAN PROJECTS AND DEVELOPERS PVT. LTD,"Plot No-208, Flat No-301,Trilochan Plaza,Saheed Nagar,Bhubaneswer,Khordha,Odisha,751007",21AAGCT0547E1ZT
RP/19/2025/01359,SRUSTI MANSION,Srusti Misti Builders Pvt. Ltd.,"BLOCK A, FLAT NO 311,BHARATI TOWER,FOREST PARK ,BHUBANESWAR,Khordha,Odisha,751009",21ABCCS1522P1ZG
RP/19/2025/01357,i-22,M/s. Panda Infratech Limited,"Plot No. 493/1629, 2nd Floor,Kharvel Nagar,Bhubaneswar,Khordha,Odisha,751001",21AAFCP7216D1ZW
PS/9/2025/01356,BENOY RESIDENCY,BAIKUNTHA BALIA CONSULTANCY & DEVELOPERPRIVATE LIMITED,"Plot No.K1-157, Flat No. 101,SR Villa,Kalinga Nagar,Bhubaneswar,Khordha,Odisha,751029",21AAFCB3125P1ZT
RP/19/2025/01355 (A),KHUSHI VEGA,KHUSHI REALCON PRIVATE LIMITED,"S-2/A-42, 43, 44,Mancheswar Industrial Estate,Rasulgarh, Bhubaneswar,Khordha,Odisha,751010",21AAECK8235G1ZR
